ensembl_id,gene_name,gene_type
ENSG00000210049,MT-TF,Mt_tRNA
ENSG00000211459,MT-RNR1,Mt_rRNA
ENSG00000210077,MT-TV,Mt_tRNA
ENSG00000210082,MT-RNR2,Mt_rRNA
ENSG00000209082,MT-TL1,Mt_tRNA
ENSG00000198888,MT-ND1,protein_coding
ENSG00000210100,MT-TI,Mt_tRNA
ENSG00000210107,MT-TQ,Mt_tRNA
ENSG00000210112,MT-TM,Mt_tRNA
ENSG00000198763,MT-ND2,protein_coding
ENSG00000210117,MT-TW,Mt_tRNA
ENSG00000210127,MT-TA,Mt_tRNA
ENSG00000210135,MT-TN,Mt_tRNA
ENSG00000210140,MT-TC,Mt_tRNA
ENSG00000210144,MT-TY,Mt_tRNA
ENSG00000198804,MT-CO1,protein_coding
ENSG00000210151,MT-TS1,Mt_tRNA
ENSG00000210154,MT-TD,Mt_tRNA
ENSG00000198712,MT-CO2,protein_coding
ENSG00000210156,MT-TK,Mt_tRNA
ENSG00000228253,MT-ATP8,protein_coding
ENSG00000198899,MT-ATP6,protein_coding
ENSG00000198938,MT-CO3,protein_coding
ENSG00000210164,MT-TG,Mt_tRNA
ENSG00000198840,MT-ND3,protein_coding
ENSG00000210174,MT-TR,Mt_tRNA
ENSG00000212907,MT-ND4L,protein_coding
ENSG00000198886,MT-ND4,protein_coding
ENSG00000210176,MT-TH,Mt_tRNA
ENSG00000210184,MT-TS2,Mt_tRNA
ENSG00000210191,MT-TL2,Mt_tRNA
ENSG00000198786,MT-ND5,protein_coding
ENSG00000198695,MT-ND6,protein_coding
ENSG00000210194,MT-TE,Mt_tRNA
ENSG00000198727,MT-CYB,protein_coding
ENSG00000210195,MT-TT,Mt_tRNA
ENSG00000210196,MT-TP,Mt_tRNA
ENSG00000278457,5S_rRNA,rRNA
ENSG00000278704,,protein_coding
ENSG00000271254,,protein_coding
ENSG00000280538,,lncRNA
ENSG00000275151,,processed_pseudogene
ENSG00000278294,5_8S_rRNA,rRNA
ENSG00000281806,,lncRNA
ENSG00000279969,,lncRNA
ENSG00000281362,LINC01115,lncRNA
ENSG00000274882,LINC02109,lncRNA
ENSG00000277995,,snoRNA
ENSG00000281486,SNTG2,protein_coding
ENSG00000262826,INTS3,protein_coding
ENSG00000273735,KIR3DL2,protein_coding
ENSG00000280663,PCMTD2,protein_coding
ENSG00000276433,KIR3DL3,protein_coding
ENSG00000276379,KIR3DL1,protein_coding
ENSG00000278788,SBNO2,protein_coding
ENSG00000273947,KIR2DL3,protein_coding
ENSG00000276595,PTCHD3,protein_coding
ENSG00000274861,LILRP2,transcribed_processed_pseudogene
ENSG00000275442,LILRP2,transcribed_processed_pseudogene
ENSG00000276518,KIR3DP1,protein_coding
ENSG00000276779,KIR2DL4,protein_coding
ENSG00000278152,KIR2DS2,protein_coding
ENSG00000274339,LILRP1,unprocessed_pseudogene
ENSG00000275336,,unprocessed_pseudogene
ENSG00000277484,KIR2DL3,protein_coding
ENSG00000277044,OPRL1,protein_coding
ENSG00000276777,ODAD2P1,unprocessed_pseudogene
ENSG00000273775,KIR3DL1,protein_coding
ENSG00000277267,LILRP2,transcribed_processed_pseudogene
ENSG00000273681,FAM210CP,processed_pseudogene
ENSG00000278364,TRIAP1P1,processed_pseudogene
ENSG00000273501,U6,snRNA
ENSG00000276858,FCAR,protein_coding
ENSG00000278036,U6,snRNA
