ensembl_id	gene_name
ENSG00000008197	TFAP2D
ENSG00000008441	NFIX
ENSG00000010818	HIVEP2
ENSG00000011332	DPF1
ENSG00000030419	IKZF2
ENSG00000062194	GPBP1
ENSG00000065970	FOXJ2
ENSG00000067082	KLF6
ENSG00000069667	RORA
ENSG00000072736	NFATC3
ENSG00000073282	TP63
ENSG00000073861	TBX21
ENSG00000077092	RARB
ENSG00000083307	GRHL2
ENSG00000084676	NCOA1
ENSG00000085276	MECOM
ENSG00000087510	TFAP2C
ENSG00000087903	RFX2
ENSG00000089225	TBX5
ENSG00000091656	ZFHX4
ENSG00000091831	ESR1
ENSG00000095951	HIVEP1
ENSG00000100644	HIF1A
ENSG00000100968	NFATC4
ENSG00000101076	HNF4A
ENSG00000101412	E2F1
ENSG00000102870	ZNF629
ENSG00000102935	ZNF423
ENSG00000103449	SALL1
ENSG00000105698	USF2
ENSG00000105866	SP4
ENSG00000106689	LHX2
ENSG00000106852	LHX6
ENSG00000111249	CUX2
ENSG00000111783	RFX4
ENSG00000112033	PPARD
ENSG00000112246	SIM1
ENSG00000112561	TFEB
ENSG00000112837	TBX18
ENSG00000115112	TFCP2L1
ENSG00000116809	ZBTB17
ENSG00000116833	NR5A2
ENSG00000117000	RLF
ENSG00000118263	KLF7
ENSG00000118922	KLF12
ENSG00000119547	ONECUT2
ENSG00000120798	NR2C1
ENSG00000121068	TBX2
ENSG00000123358	NR4A1
ENSG00000123411	IKZF4
ENSG00000124496	TRERF1
ENSG00000124813	RUNX2
ENSG00000125398	SOX9
ENSG00000125618	PAX8
ENSG00000126368	NR1D1
ENSG00000127152	BCL11B
ENSG00000128573	FOXP2
ENSG00000129173	E2F8
ENSG00000131759	RARA
ENSG00000132005	RFX1
ENSG00000133794	ARNTL
ENSG00000134046	MBD2
ENSG00000134317	GRHL1
ENSG00000134323	MYCN
ENSG00000134852	CLOCK
ENSG00000135111	TBX3
ENSG00000137203	TFAP2A
ENSG00000137270	GCM1
ENSG00000138795	LEF1
ENSG00000139083	ETV6
ENSG00000139793	MBNL2
ENSG00000140548	ZNF710
ENSG00000140968	IRF8
ENSG00000142611	PRDM16
ENSG00000143033	MTF2
ENSG00000143171	RXRG
ENSG00000143190	POU2F1
ENSG00000143355	LHX9
ENSG00000143365	RORC
ENSG00000143373	ZNF687
ENSG00000143437	ARNT
ENSG00000144355	DLX1
ENSG00000147862	NFIB
ENSG00000148516	ZEB1
ENSG00000150907	FOXO1
ENSG00000151090	THRB
ENSG00000153234	NR4A2
ENSG00000158055	GRHL3
ENSG00000160007	ARHGAP35
ENSG00000160094	ZNF362
ENSG00000161405	IKZF3
ENSG00000162761	LMX1A
ENSG00000162924	REL
ENSG00000164683	HEY1
ENSG00000164684	ZNF704
ENSG00000167182	SP2
ENSG00000168610	STAT3
ENSG00000168916	ZNF608
ENSG00000169554	ZEB2
ENSG00000169946	ZFPM2
ENSG00000170370	EMX2
ENSG00000172733	PURG
ENSG00000172819	RARG
ENSG00000177463	NR2C2
ENSG00000178177	LCORL
ENSG00000179348	GATA2
ENSG00000179361	ARID3B
ENSG00000179456	ZBTB18
ENSG00000180357	ZNF609
ENSG00000185551	NR2F2
ENSG00000185591	SP1
ENSG00000187098	MITF
ENSG00000187605	TET3
ENSG00000189308	LIN54
ENSG00000196092	PAX5
ENSG00000196482	ESRRG
ENSG00000196628	TCF4
ENSG00000197757	HOXC6
ENSG00000198815	FOXJ3
ENSG00000198945	L3MBTL3
ENSG00000198963	RORB
ENSG00000204231	RXRB
